"Date","Hour","Total (MWh)","Wind (MWh)","Geothermal (MWh)","Dammed Hydro With Reservoir (MWh)","Canal Type (MWh)","Run-of-River (MWh)","Land Fill Gas (MWh)","Biogas (MWh)","Sun (MWh)","Biomass (MWh)","Others (MWh)"
"01/06/2017","00:00","6,806.89","967.30","579.35","530.44","2,828.92","124.32","34.51","74.34","0.00","78.55","1,589.16"
"01/06/2017","01:00","6,740.30","989.41","584.54","559.39","2,774.30","121.71","32.18","74.06","0.00","74.05","1,530.66"
"01/06/2017","02:00","7,179.42","1,037.80","590.21","573.68","2,830.01","127.67","32.36","73.88","0.00","73.66","1,840.15"
"01/06/2017","03:00","7,100.16","1,059.19","592.69","527.73","2,829.10","130.40","32.94","74.49","0.00","81.54","1,772.08"
"01/06/2017","04:00","7,164.44","1,035.72","595.86","558.80","2,860.05","133.28","33.10","73.96","0.00","81.50","1,792.17"
"01/06/2017","05:00","7,004.70","989.08","596.51","553.59","2,843.77","129.78","32.67","73.79","0.14","83.33","1,702.04"
"01/06/2017","06:00","6,521.69","962.81","594.10","427.34","2,654.26","130.50","31.82","73.25","0.87","80.60","1,566.14"
"01/06/2017","07:00","6,516.97","954.58","590.65","461.46","2,755.95","127.81","30.96","73.36","3.14","74.29","1,444.77"
"01/06/2017","08:00","6,812.87","935.41","573.96","471.15","2,804.70","133.73","31.62","73.36","6.45","76.45","1,706.04"
"01/06/2017","09:00","7,393.98","864.62","559.24","558.49","2,976.12","132.28","33.62","73.43","9.17","78.66","2,108.35"
"01/06/2017","10:00","7,289.40","804.37","529.70","471.84","2,962.15","129.66","33.59","73.25","9.29","78.01","2,197.54"
"01/06/2017","11:00","7,662.81","832.04","521.66","544.49","3,081.92","126.98","32.30","70.67","7.00","79.19","2,366.56"
"01/06/2017","12:00","7,789.06","831.40","518.58","596.60","3,101.87","139.67","33.77","66.17","7.01","76.70","2,417.29"
"01/06/2017","13:00","7,831.56","852.28","512.40","544.22","3,087.50","136.06","34.61","73.31","6.83","78.01","2,506.34"
"01/06/2017","14:00","8,101.74","943.32","507.57","644.19","3,180.92","129.14","32.87","70.41","8.61","78.60","2,506.11"
"01/06/2017","15:00","8,146.28","1,014.25","505.10","643.48","3,134.48","128.04","32.99","71.86","7.74","79.66","2,528.68"
"01/06/2017","16:00","8,109.00","1,088.04","496.96","644.27","3,136.05","135.28","32.31","74.72","4.12","81.50","2,415.75"
"01/06/2017","17:00","7,689.30","1,151.28","496.98","538.53","2,999.07","132.78","32.10","73.67","1.88","72.64","2,190.37"
"01/06/2017","18:00","7,773.88","1,211.62","501.17","515.25","3,042.04","130.19","32.35","74.26","0.98","76.03","2,189.99"
"01/06/2017","19:00","7,908.51","1,185.79","513.14","538.71","3,154.00","136.39","35.05","73.66","0.22","77.46","2,194.09"
"01/06/2017","20:00","7,423.04","1,089.79","528.32","550.91","3,041.79","130.91","34.07","73.67","0.00","77.10","1,896.48"
"01/06/2017","21:00","7,755.52","1,034.26","536.53","579.65","3,007.46","137.46","33.73","73.58","0.00","78.43","2,274.42"
"01/06/2017","22:00","7,844.37","1,019.22","547.06","596.45","3,081.60","137.64","33.01","73.71","0.00","77.55","2,278.13"
"01/06/2017","23:00","7,153.79","966.49","556.09","551.31","2,899.46","137.73","33.55","72.98","0.00","80.32","1,855.86"
"02/06/2017","00:00","6,738.31","997.08","561.55","395.74","2,722.72","124.61","32.23","73.99","0.00","80.37","1,750.02"
"02/06/2017","01:00","6,749.54","950.28","565.96","517.84","2,679.22","126.52","31.08","74.05","0.00","73.21","1,731.38"
"02/06/2017","02:00","6,883.56","957.67","573.09","531.07","2,687.38","126.82","32.25","72.91","0.00","77.83","1,824.54"
"02/06/2017","03:00","6,594.25","941.22","577.67","392.31","2,590.77","134.27","31.34","74.06","0.00","81.26","1,771.35"
"02/06/2017","04:00","6,647.79","945.26","583.00","547.06","2,639.16","133.18","33.87","74.02","0.00","81.19","1,611.05"
"02/06/2017","05:00","6,585.34","933.86","581.91","524.68","2,672.09","133.25","33.45","74.05","0.17","82.77","1,549.11"
"02/06/2017","06:00","6,432.13","871.49","579.60","433.62","2,652.42","134.05","31.73","74.51","1.62","83.32","1,569.77"
"02/06/2017","07:00","5,882.30","770.50","574.48","390.70","2,519.72","125.01","32.04","72.50","4.89","80.91","1,311.55"
"02/06/2017","08:00","6,422.69","732.19","554.61","529.54","2,636.77","139.70","31.07","70.96","7.76","81.24","1,638.85"
"02/06/2017","09:00","6,628.48","713.02","533.20","540.49","2,765.91","140.54","35.85","72.17","9.95","80.81","1,736.54"
"02/06/2017","10:00","7,082.60","746.70","520.84","554.42","2,800.73","140.44","35.61","72.11","11.01","75.18","2,125.56"
"02/06/2017","11:00","7,344.10","737.37","504.55","597.84","2,960.85","137.10","35.87","71.60","10.00","74.90","2,214.02"
"02/06/2017","12:00","6,853.03","702.85","493.92","561.13","2,878.48","135.96","29.11","74.35","11.79","83.38","1,882.06"
"02/06/2017","13:00","5,909.56","702.44","484.44","447.60","2,605.29","128.25","31.12","74.01","10.39","84.35","1,341.67"
"02/06/2017","14:00","6,474.34","733.94","476.69","504.30","2,739.29","128.65","32.00","74.00","9.56","83.30","1,692.61"
"02/06/2017","15:00","6,900.86","774.89","474.56","585.28","2,919.43","133.41","32.53","73.73","8.27","77.21","1,821.55"
"02/06/2017","16:00","7,246.03","730.71","473.10","579.98","2,969.23","126.71","34.21","74.32","6.39","81.27","2,170.11"
"02/06/2017","17:00","7,949.89","1,007.26","472.90","595.53","3,097.12","136.52","33.61","73.98","3.68","84.01","2,445.28"
"02/06/2017","18:00","7,448.61","1,110.30","480.39","590.87","3,045.16","123.17","34.81","74.21","0.81","84.89","1,904.00"
"02/06/2017","19:00","7,121.54","982.13","495.97","504.99","3,022.27","123.15","35.47","72.18","0.01","81.47","1,803.90"
"02/06/2017","20:00","6,701.93","969.90","508.25","457.18","2,836.45","129.68","35.08","72.03","0.00","85.83","1,607.53"
"02/06/2017","21:00","6,869.17","934.48","519.44","474.98","2,828.18","136.34","36.40","71.20","0.00","85.82","1,782.33"
"02/06/2017","22:00","6,445.86","736.39","528.73","465.41","2,859.28","134.13","30.29","71.34","0.00","86.18","1,534.11"
"02/06/2017","23:00","6,175.12","589.93","541.24","441.70","2,804.27","137.23","32.74","71.08","0.00","85.52","1,471.41"
"03/06/2017","00:00","5,627.96","472.45","550.66","411.55","2,529.73","123.23","35.81","72.15","0.00","84.03","1,348.35"
"03/06/2017","01:00","5,499.16","400.31","554.46","436.68","2,519.33","119.93","30.50","73.44","0.00","80.28","1,284.23"
"03/06/2017","02:00","5,583.15","356.86","559.96","371.38","2,519.62","116.28","32.48","74.14","0.00","76.50","1,475.93"
"03/06/2017","03:00","5,402.09","366.50","560.58","454.48","2,419.50","123.97","32.02","73.87","0.00","76.62","1,294.55"
"03/06/2017","04:00","5,416.99","377.93","564.69","471.97","2,420.54","123.66","31.66","73.79","0.00","77.13","1,275.62"
"03/06/2017","05:00","5,804.25","366.09","567.13","466.59","2,534.16","115.67","30.89","73.53","0.13","77.34","1,572.72"
"03/06/2017","06:00","5,322.57","309.29","563.60","454.75","2,432.41","115.85","31.99","73.52","1.74","74.93","1,264.49"
"03/06/2017","07:00","5,838.40","246.54","555.82","551.57","2,668.91","115.06","31.05","73.20","4.50","74.71","1,517.04"
"03/06/2017","08:00","6,161.28","191.79","525.87","522.78","2,749.41","122.23","32.56","72.66","8.11","77.60","1,858.27"
"03/06/2017","09:00","5,977.66","134.34","520.84","560.53","2,709.45","128.20","34.56","73.20","9.72","77.04","1,729.78"
"03/06/2017","10:00","6,527.35","110.15","499.19","563.36","2,797.77","123.14","32.83","73.21","11.07","76.19","2,240.44"
"03/06/2017","11:00","6,692.33","114.30","482.64","565.92","2,892.96","116.47","33.48","74.16","12.55","76.33","2,323.52"
"03/06/2017","12:00","5,884.59","150.72","475.58","564.89","2,686.23","123.49","33.49","73.97","12.07","76.50","1,687.65"
"03/06/2017","13:00","5,647.95","256.20","471.95","451.07","2,564.24","114.14","30.18","73.78","12.00","76.75","1,597.64"
"03/06/2017","14:00","6,639.30","395.10","472.65","503.25","2,742.71","128.10","33.01","73.25","10.54","77.72","2,202.97"
"03/06/2017","15:00","6,638.14","656.43","466.94","500.80","2,730.04","126.90","33.19","73.76","9.25","79.58","1,961.25"
"03/06/2017","16:00","7,184.52","955.50","464.25","503.20","2,751.63","127.43","33.30","74.44","6.49","69.97","2,198.31"
"03/06/2017","17:00","7,038.47","1,048.53","475.82","499.93","2,773.24","122.55","32.68","73.43","3.31","76.24","1,932.74"
"03/06/2017","18:00","6,618.29","954.98","486.20","503.56","2,731.22","118.23","16.66","73.02","0.69","79.75","1,653.98"
"03/06/2017","19:00","7,193.11","1,083.28","500.32","517.52","2,784.73","116.60","16.99","66.31","0.01","75.41","2,031.94"
"03/06/2017","20:00","6,819.57","1,249.21","511.61","456.06","2,764.29","125.99","16.74","70.80","0.00","75.46","1,549.41"
"03/06/2017","21:00","6,554.44","1,228.79","493.50","457.09","2,656.35","123.74","17.05","64.78","0.00","76.33","1,436.81"
"03/06/2017","22:00","6,900.56","1,313.36","464.47","452.29","2,792.00","120.81","15.98","71.18","0.00","71.68","1,598.79"
"03/06/2017","23:00","6,269.69","1,155.00","485.55","438.36","2,579.21","124.08","10.81","74.64","0.00","75.45","1,326.59"
"04/06/2017","00:00","6,170.99","997.82","507.75","372.37","2,494.08","100.23","17.12","74.17","0.00","67.98","1,539.47"
"04/06/2017","01:00","6,141.04","809.47","514.60","377.99","2,533.72","99.20","15.67","74.98","0.00","60.74","1,654.67"
"04/06/2017","02:00","6,363.14","676.73","516.42","384.91","2,579.87","117.26","15.65","74.62","0.00","61.44","1,936.24"
"04/06/2017","03:00","5,860.57","621.77","545.32","355.99","2,472.03","99.11","15.67","74.34","0.00","63.03","1,613.31"
"04/06/2017","04:00","5,624.27","603.81","554.44","334.37","2,357.81","100.05","15.67","74.69","0.00","63.50","1,519.93"
"04/06/2017","05:00","5,409.45","598.63","550.63","387.21","2,288.77","108.92","15.21","74.40","0.08","61.27","1,324.33"
"04/06/2017","06:00","5,206.88","533.81","547.45","363.43","2,231.98","111.99","14.15","73.89","1.37","64.03","1,264.78"
"04/06/2017","07:00","5,148.68","507.42","555.47","343.91","2,215.99","112.65","14.31","71.82","4.36","61.99","1,260.76"
"04/06/2017","08:00","5,532.04","439.25","551.64","366.48","2,384.97","116.62","15.53","71.07","7.16","59.95","1,519.37"
"04/06/2017","09:00","5,547.31","485.33","529.59","402.08","2,426.41","108.38","17.89","70.99","9.15","67.62","1,429.87"
"04/06/2017","10:00","6,428.86","721.13","515.20","539.69","2,595.46","108.84","18.51","70.91","10.81","74.70","1,773.61"
"04/06/2017","11:00","6,541.47","866.47","509.65","530.30","2,703.81","113.72","16.42","69.46","11.91","74.14","1,645.59"
"04/06/2017","12:00","6,433.36","1,196.82","500.85","463.94","2,595.80","115.80","15.86","69.18","11.49","74.51","1,389.11"
"04/06/2017","13:00","6,605.89","1,402.73","488.84","406.72","2,556.63","116.82","16.30","70.13","10.80","94.08","1,442.84"
"04/06/2017","14:00","6,791.45","1,569.18","493.56","453.29","2,579.55","116.36","17.05","69.72","10.78","95.45","1,386.51"
"04/06/2017","15:00","6,660.75","1,559.20","505.55","448.77","2,566.29","106.68","17.12","70.07","6.95","97.64","1,282.48"
"04/06/2017","16:00","6,774.25","1,183.25","515.95","445.27","2,653.18","105.96","17.15","70.17","6.38","97.79","1,679.15"
"04/06/2017","17:00","7,373.04","1,206.14","521.19","492.38","2,711.86","115.10","17.03","70.07","3.18","89.60","2,146.49"
"04/06/2017","18:00","7,466.08","1,387.38","487.97","484.18","2,724.93","115.44","17.11","70.37","0.80","95.86","2,082.04"
"04/06/2017","19:00","7,070.77","1,404.25","512.18","502.48","2,694.01","119.73","17.00","69.87","0.05","97.98","1,653.22"
"04/06/2017","20:00","6,838.03","1,419.19","533.59","439.82","2,662.70","127.04","16.60","71.85","0.00","100.15","1,467.09"
"04/06/2017","21:00","6,617.46","1,330.31","525.02","501.23","2,704.30","112.11","15.74","72.11","0.00","100.01","1,256.63"
"04/06/2017","22:00","6,922.09","1,097.69","540.60","502.19","2,768.03","104.07","15.12","73.53","0.00","100.01","1,720.85"
"04/06/2017","23:00","6,551.54","880.41","551.94","492.07","2,693.04","104.93","14.28","73.21","0.00","102.35","1,639.31"
"05/06/2017","00:00","5,621.06","818.46","564.34","313.13","2,373.77","112.53","35.40","73.38","0.00","97.83","1,232.22"
"05/06/2017","01:00","5,472.58","677.56","573.46","349.57","2,281.57","109.77","33.88","73.51","0.00","93.49","1,279.77"
"05/06/2017","02:00","5,944.70","682.38","577.27","441.37","2,369.92","107.84","34.83","71.30","0.00","95.83","1,563.96"
"05/06/2017","03:00","5,464.86","667.56","580.08","411.05","2,241.68","96.96","34.52","71.41","0.00","90.35","1,271.25"
"05/06/2017","04:00","5,806.46","704.08","582.48","421.72","2,317.40","98.51","34.36","71.53","0.00","74.58","1,501.80"
"05/06/2017","05:00","5,491.44","821.99","584.44","337.85","2,145.88","99.98","34.72","72.57","0.11","72.09","1,321.81"
"05/06/2017","06:00","5,222.10","827.21","581.99","314.92","2,089.36","100.42","35.00","72.34","1.41","75.83","1,123.62"
"05/06/2017","07:00","5,760.32","722.89","572.27","352.64","2,295.18","98.83","33.50","72.63","4.44","75.67","1,532.27"
"05/06/2017","08:00","6,760.94","698.43","548.00","420.17","2,608.23","112.44","32.75","70.80","7.50","72.27","2,190.35"
"05/06/2017","09:00","5,849.80","741.82","538.81","348.75","2,510.31","105.52","34.90","72.06","9.88","73.73","1,414.02"
"05/06/2017","10:00","6,835.04","798.73","527.07","440.21","2,662.39","106.08","34.06","71.60","10.73","70.44","2,113.73"
"05/06/2017","11:00","6,641.44","901.85","519.08","423.69","2,644.92","109.43","34.38","67.23","11.42","68.63","1,860.81"
"05/06/2017","12:00","7,251.13","942.02","512.55","446.92","2,680.82","112.05","34.31","67.46","11.28","69.79","2,373.93"
"05/06/2017","13:00","7,047.81","1,091.26","500.26","427.45","2,597.78","112.74","30.69","71.28","10.10","66.27","2,139.98"
"05/06/2017","14:00","7,598.92","1,336.64","491.91","433.25","2,606.82","111.82","31.05","70.29","9.82","69.20","2,438.12"
"05/06/2017","15:00","7,769.21","1,514.18","487.76","452.58","2,646.90","103.60","30.95","69.69","6.59","68.96","2,388.00"
"05/06/2017","16:00","8,127.75","1,746.73","487.04","437.57","2,676.64","103.40","33.62","71.16","4.87","70.29","2,496.43"
"05/06/2017","17:00","7,941.27","1,763.98","491.06","422.28","2,683.37","108.70","31.09","70.68","1.00","60.05","2,309.06"
"05/06/2017","18:00","7,217.87","1,666.81","496.30","360.15","2,622.50","106.40","33.79","71.07","0.20","76.58","1,784.07"
"05/06/2017","19:00","7,157.55","1,482.60","510.68","365.05","2,659.92","111.37","32.06","71.54","0.02","78.65","1,845.66"
"05/06/2017","20:00","6,882.90","1,411.65","519.93","377.35","2,695.18","108.03","34.41","71.73","0.00","77.75","1,586.87"
"05/06/2017","21:00","6,642.68","1,117.03","522.27","377.73","2,659.15","103.05","32.08","71.79","0.00","77.41","1,682.17"
"05/06/2017","22:00","6,567.44","1,033.56","521.96","382.31","2,673.94","101.37","31.29","72.09","0.00","78.54","1,672.38"
"05/06/2017","23:00","6,020.97","971.00","527.61","376.93","2,473.56","109.46","31.99","72.05","0.00","92.33","1,366.04"
"06/06/2017","00:00","5,793.09","870.18","531.83","294.31","2,389.31","109.29","27.50","70.86","0.00","100.86","1,398.95"
"06/06/2017","01:00","5,553.66","734.91","558.77","338.22","2,314.07","109.76","27.64","71.08","0.00","99.67","1,299.54"
"06/06/2017","02:00","5,409.27","642.20","560.51","283.94","2,342.31","110.81","30.16","71.95","0.00","94.35","1,273.04"
"06/06/2017","03:00","5,138.54","560.76","568.54","284.84","2,213.09","107.54","29.54","71.19","0.00","91.30","1,211.74"
"06/06/2017","04:00","5,223.15","549.34","569.25","281.91","2,211.97","115.55","31.80","71.49","0.00","98.46","1,293.38"
"06/06/2017","05:00","5,092.38","523.24","570.54","275.70","2,166.30","117.45","30.32","71.76","0.24","97.57","1,239.26"
"06/06/2017","06:00","5,046.75","530.09","569.02","281.88","2,194.10","119.67","30.10","72.09","1.49","99.58","1,148.73"
"06/06/2017","07:00","5,492.60","478.18","529.04","313.11","2,353.49","117.30","30.35","71.73","3.65","87.55","1,508.20"
"06/06/2017","08:00","6,091.14","486.85","511.55","417.51","2,543.03","125.94","32.96","70.96","7.32","100.54","1,794.48"
"06/06/2017","09:00","5,737.51","486.95","497.06","344.42","2,541.93","115.39","34.45","71.27","9.30","98.71","1,538.03"
"06/06/2017","10:00","5,835.52","497.48","487.19","329.45","2,614.11","119.45","33.06","70.33","11.02","97.15","1,576.28"
"06/06/2017","11:00","5,978.58","544.50","477.36","405.08","2,591.19","127.64","35.21","71.47","11.69","95.29","1,619.15"
"06/06/2017","12:00","5,880.13","585.32","469.79","403.91","2,572.06","114.90","34.10","71.91","10.38","99.33","1,518.43"
"06/06/2017","13:00","6,036.42","562.26","459.58","438.87","2,616.58","122.41","34.25","71.11","8.75","91.25","1,631.36"
"06/06/2017","14:00","6,803.19","605.19","454.97","477.50","2,729.36","116.42","33.06","70.34","7.34","95.24","2,213.77"
"06/06/2017","15:00","6,486.28","701.25","448.95","474.82","2,753.36","112.38","31.73","70.53","8.28","96.45","1,788.53"
"06/06/2017","16:00","6,788.92","818.58","443.22","427.09","2,768.22","114.27","32.58","72.81","6.21","98.53","2,007.41"
"06/06/2017","17:00","6,579.34","894.24","441.04","368.81","2,746.12","121.53","31.52","73.16","3.53","96.87","1,802.52"
"06/06/2017","18:00","6,257.04","1,006.77","460.59","342.93","2,692.40","125.14","33.76","73.48","0.84","94.32","1,426.81"
"06/06/2017","19:00","6,278.07","957.95","490.37","351.16","2,629.15","131.39","34.86","73.08","0.03","93.35","1,516.73"
"06/06/2017","20:00","6,064.28","907.76","506.42","360.76","2,639.86","125.61","34.81","72.75","0.00","93.69","1,322.62"
"06/06/2017","21:00","6,044.04","806.85","518.54","354.34","2,662.63","120.30","34.96","72.10","0.00","95.25","1,379.07"
"06/06/2017","22:00","6,008.98","692.74","525.71","365.58","2,699.64","117.74","34.11","72.91","0.00","95.22","1,405.33"
"06/06/2017","23:00","5,598.51","627.96","537.67","334.61","2,498.93","123.07","33.72","71.72","0.00","95.25","1,275.58"
"07/06/2017","00:00","5,500.67","637.36","537.47","377.17","2,437.66","128.32","31.44","70.77","0.00","97.49","1,182.99"
"07/06/2017","01:00","5,438.30","615.93","540.91","390.97","2,348.14","127.55","29.85","70.34","0.00","101.37","1,213.24"
"07/06/2017","02:00","5,401.76","655.55","547.40","351.97","2,317.96","128.80","29.53","69.86","0.00","103.21","1,197.48"
"07/06/2017","03:00","5,463.12","683.51","550.63","350.02","2,331.13","119.18","30.50","69.96","0.00","87.29","1,240.90"
"07/06/2017","04:00","5,557.95","610.78","551.82","457.04","2,346.25","126.13","30.36","71.34","0.00","98.03","1,266.20"
"07/06/2017","05:00","5,581.42","578.26","553.82","493.48","2,354.75","134.82","29.58","71.51","0.23","97.61","1,267.36"
"07/06/2017","06:00","5,375.88","546.99","551.13","431.24","2,307.15","133.48","29.97","71.25","1.35","94.41","1,208.91"
"07/06/2017","07:00","5,453.29","498.46","541.58","492.34","2,365.91","125.62","28.73","70.94","4.21","97.00","1,228.50"
"07/06/2017","08:00","5,973.95","453.39","523.57","515.79","2,539.44","135.53","29.92","70.87","7.67","96.50","1,601.27"
"07/06/2017","09:00","6,396.26","473.84","506.09","647.46","2,639.52","122.69","32.93","72.04","9.25","89.65","1,802.79"
"07/06/2017","10:00","6,271.32","435.44","493.93","583.29","2,652.99","123.25","30.15","72.54","11.06","71.29","1,797.38"
"07/06/2017","11:00","6,558.85","403.88","477.26","561.72","2,696.49","133.21","29.41","72.36","11.07","73.60","2,099.85"
"07/06/2017","12:00","6,438.16","412.75","467.81","574.71","2,662.50","134.82","26.25","70.97","10.14","74.57","2,003.64"
"07/06/2017","13:00","6,386.51","524.27","458.54","546.91","2,644.69","137.07","28.41","72.80","9.46","75.35","1,889.01"
"07/06/2017","14:00","6,651.90","609.79","444.71","554.36","2,652.31","137.18","30.88","72.58","10.30","75.04","2,064.75"
"07/06/2017","15:00","6,530.86","724.17","450.52","571.92","2,586.07","127.95","30.16","72.78","8.08","75.87","1,883.34"
"07/06/2017","16:00","6,438.03","650.58","452.46","565.07","2,641.94","125.72","30.63","72.03","5.82","72.71","1,821.07"
"07/06/2017","17:00","6,945.66","617.14","461.62","517.56","2,665.61","122.09","31.82","70.41","2.67","70.75","2,385.99"
"07/06/2017","18:00","7,106.47","639.28","468.45","504.69","2,747.09","122.98","31.98","72.57","0.73","67.33","2,451.37"
"07/06/2017","19:00","6,798.37","638.81","477.19","521.49","2,678.50","135.46","31.78","72.49","0.03","70.16","2,172.46"
"07/06/2017","20:00","6,477.27","651.21","486.02","501.08","2,667.26","130.71","30.80","72.61","0.00","67.29","1,870.29"
"07/06/2017","21:00","6,340.30","561.89","501.27","485.02","2,606.72","125.97","32.28","73.18","0.00","71.54","1,882.43"
"07/06/2017","22:00","6,352.68","477.70","510.54","490.37","2,671.35","123.07","32.92","72.92","0.00","86.33","1,887.48"
"07/06/2017","23:00","5,932.36","419.06","527.08","437.91","2,555.25","125.84","33.54","74.00","0.00","93.06","1,666.62"
"08/06/2017","00:00","5,247.99","363.69","532.21","337.96","2,357.82","134.44","30.59","73.20","0.00","99.61","1,318.47"
"08/06/2017","01:00","5,084.37","366.54","537.17","331.88","2,269.80","132.54","31.17","72.97","0.00","98.90","1,243.40"
"08/06/2017","02:00","4,972.87","388.29","543.17","329.70","2,169.73","133.43","31.72","71.83","0.00","96.79","1,208.21"
"08/06/2017","03:00","4,577.10","376.15","543.39","303.78","2,063.95","123.84","30.13","72.43","0.00","98.70","964.73"
"08/06/2017","04:00","4,483.63","377.04","528.72","290.08","2,057.53","111.64","31.43","72.60","0.00","98.90","915.69"
"08/06/2017","05:00","5,244.43","399.56","505.48","282.83","2,120.63","123.42","27.87","65.60","0.21","99.56","1,619.27"
"08/06/2017","06:00","4,885.80","391.95","504.11","291.14","2,118.55","122.36","28.10","68.25","1.50","83.53","1,276.31"
"08/06/2017","07:00","4,935.59","446.67","500.99","335.11","2,190.65","130.56","32.39","72.44","4.43","74.12","1,148.23"
"08/06/2017","08:00","6,450.19","408.52","492.13","467.74","2,490.29","132.51","32.21","70.53","7.57","72.24","2,276.45"
"08/06/2017","09:00","6,322.85","387.96","484.78","465.14","2,553.02","121.98","33.00","70.92","9.66","70.50","2,125.89"
"08/06/2017","10:00","6,644.14","300.53","470.22","474.30","2,578.24","123.65","33.51","70.50","11.35","70.82","2,511.02"
"08/06/2017","11:00","6,221.11","280.69","460.99","433.56","2,558.81","131.65","32.48","71.09","11.76","68.38","2,171.70"
"08/06/2017","12:00","6,681.11","391.20","455.26","525.41","2,562.38","131.57","33.51","71.35","12.20","64.87","2,433.36"
"08/06/2017","13:00","6,573.40","409.21","458.64","497.73","2,542.08","132.33","29.31","74.42","11.60","67.09","2,350.99"
"08/06/2017","14:00","6,563.09","566.27","461.56","539.68","2,576.41","135.19","32.85","74.09","10.80","69.48","2,096.76"
"08/06/2017","15:00","6,805.88","660.15","479.11","511.61","2,590.81","123.98","32.11","73.42","9.44","69.55","2,255.70"
"08/06/2017","16:00","6,608.02","619.57","479.23","441.72","2,550.27","115.06","31.81","72.71","5.44","72.04","2,220.17"
"08/06/2017","17:00","6,558.00","676.01","471.55","410.98","2,513.55","124.45","32.08","71.03","2.60","72.83","2,182.92"
"08/06/2017","18:00","6,661.19","721.60","490.91","432.66","2,538.04","123.43","31.47","69.97","0.61","73.29","2,179.21"
"08/06/2017","19:00","6,575.89","946.03","505.82","431.28","2,528.25","130.32","31.94","63.62","0.16","73.37","1,865.10"
"08/06/2017","20:00","6,932.59","1,146.75","519.97","433.88","2,574.06","125.42","31.37","63.87","0.00","72.64","1,964.63"
"08/06/2017","21:00","6,976.01","1,171.73","527.18","438.20","2,631.99","124.95","31.42","64.41","0.00","63.97","1,922.16"
"08/06/2017","22:00","6,509.38","1,237.99","528.21","431.64","2,498.40","116.16","31.43","72.39","0.00","71.65","1,521.51"
"08/06/2017","23:00","6,227.01","1,391.67","526.69","422.13","2,324.56","126.66","32.07","70.15","0.00","72.10","1,260.98"
"09/06/2017","00:00","5,358.53","1,329.63","536.29","250.30","2,121.08","128.46","32.53","73.21","0.00","75.39","811.64"
"09/06/2017","01:00","5,248.72","1,360.58","542.68","249.68","2,035.77","126.72","30.24","72.93","0.00","80.37","749.75"
"09/06/2017","02:00","5,266.68","1,394.11","546.57","247.52","1,971.08","126.96","32.06","73.28","0.00","86.83","788.27"
"09/06/2017","03:00","5,190.78","1,295.41","549.35","205.64","1,994.62","121.84","31.44","72.63","0.00","96.79","823.06"
"09/06/2017","04:00","5,175.35","1,317.29","551.07","203.44","1,951.31","105.24","31.34","72.55","0.00","97.35","845.76"
"09/06/2017","05:00","5,673.89","1,328.38","554.87","213.85","2,132.39","107.35","30.82","69.98","0.32","91.60","1,144.33"
"09/06/2017","06:00","5,580.95","1,353.70","560.31","201.67","2,109.77","117.84","28.05","72.56","1.44","91.54","1,044.07"
"09/06/2017","07:00","5,415.22","1,460.12","553.53","202.93","2,036.83","120.53","29.85","72.07","4.33","100.84","834.19"
"09/06/2017","08:00","6,175.76","1,582.07","534.25","274.79","2,195.99","122.57","31.71","70.15","7.08","101.17","1,255.98"
"09/06/2017","09:00","6,142.38","1,508.27","524.26","356.49","2,206.67","118.91","31.11","71.10","9.18","96.44","1,219.95"
"09/06/2017","10:00","6,615.07","1,286.01","513.40","400.96","2,352.30","103.18","30.07","70.59","12.06","97.65","1,748.85"
"09/06/2017","11:00","6,730.51","1,100.35","502.89","444.04","2,536.14","91.54","31.51","70.54","11.02","98.43","1,844.05"
"09/06/2017","12:00","5,878.43","1,108.96","494.36","391.60","2,321.26","99.89","31.73","71.98","11.05","96.68","1,250.92"
"09/06/2017","13:00","6,027.78","1,287.14","488.23","273.43","2,260.76","111.91","30.62","72.15","11.97","101.28","1,390.29"
"09/06/2017","14:00","7,126.76","1,619.51","482.21","502.16","2,374.58","126.90","33.22","71.79","10.06","96.77","1,809.56"
"09/06/2017","15:00","7,190.72","1,832.07","479.91","349.60","2,458.68","123.84","31.51","72.57","8.44","95.98","1,738.12"
"09/06/2017","16:00","6,991.52","2,025.80","482.16","314.32","2,385.36","114.70","29.93","71.76","6.44","99.50","1,461.55"
"09/06/2017","17:00","6,945.83","2,149.84","482.51","304.09","2,436.99","114.96","31.67","72.63","2.70","97.12","1,253.32"
"09/06/2017","18:00","6,994.81","2,381.78","488.36","285.68","2,304.40","124.42","34.46","72.61","0.63","102.83","1,199.64"
"09/06/2017","19:00","6,960.72","2,296.76","499.05","287.20","2,278.30","127.53","33.46","72.68","0.02","97.25","1,268.47"
"09/06/2017","20:00","7,167.45","2,256.99","515.06","325.46","2,504.17","126.71","34.17","72.84","0.00","102.70","1,229.35"
"09/06/2017","21:00","7,201.83","2,053.26","522.67","370.30","2,533.18","125.49","33.17","72.72","0.00","101.27","1,389.77"
"09/06/2017","22:00","6,559.65","1,924.27","529.15","310.15","2,369.87","118.73","32.22","71.88","0.00","96.74","1,106.64"
"09/06/2017","23:00","6,153.83","1,625.00","540.56","302.36","2,400.03","123.76","33.23","72.78","0.00","96.65","959.46"
"10/06/2017","00:00","5,851.55","1,452.93","546.39","307.57","2,383.83","127.66","34.09","72.27","0.00","97.96","828.85"
"10/06/2017","01:00","5,701.66","1,232.52","553.26","350.32","2,372.25","132.00","34.51","72.68","0.00","100.58","853.54"
